Organization,Program Type,Cost per Beneficiary (USD),Income Increase (USD/year),Income Increase (%),Baseline Income Assumed (USD),Years Measured,Cost to Double Income (USD),BOTEC Pass/Fail ($30),Evidence Quality,Source,Source URL,Notes
One Acre Fund,Agricultural bundle (seeds/fertilizer/training),80,124,35%,354,2022-2024,229,FAIL,High,"One Acre Fund self-reported data, cited in multiple sources including Global Innovation Fund and The Life You Can Save",https://www.globalinnovation.fund/investments/one-acre-fund/,"Calculated baseline: $124/0.35 = $354; Cost to double: $80 * (100%/35%) = $229"
One Acre Fund,Agricultural bundle (net after repayment),37,124,35%,354,2022-2024,106,FAIL,High,"One Acre Fund - farmer repayment of $43 reduces $80 to $37 net donation needed",https://www.thelifeyoucansave.org/best-charities/one-acre-fund/,"Cost to double: $37 * (100%/35%) = $106"
One Acre Fund,Agricultural bundle (2024 field revenues),19.59,124,35%,354,2024,56,FAIL,High,"One Acre Fund - The Life You Can Save, 2024 data",https://www.thelifeyoucansave.org/best-charities/one-acre-fund/,"After 96% loan repayment covering 74% of costs. Cost to double: $19.59 * (100%/35%) = $56"
One Acre Fund,Agricultural bundle (2021 data),80,104,45%,231,2021,178,FAIL,High,"One Acre Fund self-reported, 2021 results",https://www.focusingphilanthropy.org/partner/about-one-acre-fund/,"Calculated baseline: $104/0.45 = $231; Cost to double: $80 * (100%/45%) = $178"
One Acre Fund,Tree program,20-30,Unknown,Unknown,Unknown,Multi-year,Unknown,UNKNOWN,Moderate,"GiveWell grants for tree program RCT",https://www.givewell.org/research/grants/one-acre-fund-tree-rct-january-2023,"One-time cost but long-term income effects not yet validated. GiveWell funded $1.3M RCT to measure this."
myAgro,Mobile layaway for seeds/fertilizer,Unknown (CRITICAL GAP),178,26%,685,2020,Unknown,UNKNOWN,Moderate,"myAgro impact analysis 2020, reported by Global Innovation Fund",https://www.globalinnovation.fund/investments/myagro/,"Calculated baseline: $178/0.26 = $685. Cannot calculate cost to double without knowing cost per farmer."
myAgro,Female saving groups,Unknown (CRITICAL GAP),73,>100%,<73,2020,Unknown,POSSIBLY PASS,Moderate,"myAgro results from female saving groups, reported by Skoll Foundation",https://skoll.org/organization/myagro/,"If cost <$30 and if >100% generalizes, this could meet BOTEC. CRITICAL: Need exact cost per farmer."
myAgro,Overall program (high end),Unknown,150-300,50-100%,150-600,Various,Unknown,POSSIBLY PASS,Low,"myAgro reported range, multiple sources",https://knowledge.wharton.upenn.edu/article/lipman-family-prize/,"Wide range suggests variation by cohort/geography. High end (100% gain, low cost) could meet BOTEC if cost <$30."
myAgro,2020 average (harvest increase),Unknown,Unknown,78%,Unknown,2020,Unknown,UNKNOWN,Moderate,"myAgro 2020 impact analysis - Global Innovation Fund",https://www.globalinnovation.fund/investments/myagro/,"Yield increase of 78%. Cannot determine income effect from yield alone."
Precision Development,Mobile agricultural advisory,1.8,Unknown,Unknown,Unknown,Annual cost,Unknown,POSSIBLY PASS,High,"GiveWell 2020 cost estimate",https://www.givewell.org/charities/precision-agriculture-for-development,"$1.80/year per household. Over 10 years = $18 total. But annual cost means sustainability question."
Precision Development,Mobile advisory (India BCR),1.8,12-19 (per $1 invested),667-1056%,1.8-2.85,Long-run,1.8,PASS,High,"PxD self-reported, India flagship service",https://precisiondev.org/2024-annual-report/innovation-at-pxd/,"If $1 generates $12-19 in profit, then $1.80 generates $21.60-34.20. This is 1,200-1,900% return, suggesting input error or measurement difference."
Precision Development,GiveWell comparison,1.8 per year,~167 (implied),Unknown,Unknown,Unknown,~28 over 10 years,PASS (if 10yr),High,"GiveWell 2020: PxD is ~6x as cost-effective as GiveDirectly",https://www.givewell.org/charities/precision-agriculture-for-development,"GiveDirectly baseline ~$1,000/household. 6x more effective = ~$167 value. But $1.80 is annual, so 10 years = $18, 20 years = $36."
Malawi Fertilizer Subsidy,Government subsidy program,~7.14-5.38 per USD gained,1.40-1.86,~0.5-1%,280-186,Annual,1400-1076,FAIL DRAMATICALLY,Moderate,"Research synthesis on fertilizer subsidies in SSA",https://www.researchgate.net/publication/259546297,"10kg subsidy → $1.40-1.86 gain. Terrible ROI. Cost/benefit: costs outweigh benefits per research consensus."
Senegal Fertilizer Subsidy,Government subsidy program,Unknown,11% of gross margin,11%,Unknown,Recent,Unknown,LIKELY FAIL,Moderate,"Study on Government fertilizer subsidies in Senegal",https://www.sciencedirect.com/science/article/pii/S0306919224000344,"11% increase. Without absolute $ and cost data, cannot calculate. But pattern suggests high cost."
Ghana Fertilizer Subsidy,Fertilizer adoption,Unknown,332,Unknown,Unknown,Recent,Unknown,LIKELY FAIL,Moderate,"Study on Ghana fertilizer adoption",https://www.researchgate.net/publication/259546297,"$332 increase in gross maize income from fertilizer adoption. Cost data not provided but subsidies typically cost $100-160M/year for millions of farmers."
